country_code,tier,has_web_cookie_consent
US,Tier 1,FALSE
DE,Tier 1,TRUE
FR,Tier 1,TRUE
GB,Tier 1,TRUE
AU,Tier 2,FALSE
AT,Tier 2,TRUE
BE,Tier 2,TRUE
BR,Tier 2,FALSE
CA,Tier 2,FALSE
DK,Tier 2,TRUE
FI,Tier 2,TRUE
IN,Tier 2,FALSE
IT,Tier 2,TRUE
JP,Tier 2,FALSE
MX,Tier 2,FALSE
NL,Tier 2,TRUE
NO,Tier 2,TRUE
PL,Tier 2,TRUE
ES,Tier 2,TRUE
SE,Tier 2,TRUE
CH,Tier 2,TRUE
GR,Tier 2,TRUE
LU,Tier 2,TRUE
PT,Tier 2,TRUE
TR,Tier 2,FALSE
NZ,Tier 2,FALSE
SV,Tier 3,FALSE
GT,Tier 3,FALSE
EC,Tier 3,FALSE
PA,Tier 3,FALSE
AR,Tier 3,FALSE
CL,Tier 3,FALSE
CO,Tier 3,FALSE
ID,Tier 3,FALSE
KR,Tier 3,FALSE
SG,Tier 3,FALSE
TH,Tier 3,FALSE
TW,Tier 3,FALSE
VN,Tier 3,FALSE
CZ,,TRUE
BG,,TRUE
SK,,TRUE
LV,,TRUE
EE,,TRUE
LT,,TRUE
HR,,TRUE
SI,,TRUE
HU,,TRUE
IS,,TRUE
IE,,TRUE
RO,,TRUE
CY,,TRUE
MT,,TRUE
LI,,TRUE
